type,time,latitude,longitude,altitude (m),sym,name,input,easting,northing
W,2/12/2019 0:34,-36.25829,175.436482,16.9,"Flag, Blue",ABC1 OKU,okupu,1818895.882,5984648.343
W,2/12/2019 0:38,-36.25681,175.437089,20.8,"Flag, Blue",ABC2 OKU,okupu,1818954.559,5984811.176
W,2/12/2019 0:41,-36.256521,175.438843,33.1,"Flag, Blue",ABC3 OKU,okupu,1819112.979,5984839.272
W,2/12/2019 0:43,-36.254839,175.439366,49.2,"Flag, Blue",ABC4 OKU,okupu,1819164.677,5985024.705
W,2/12/2019 0:47,-36.253135,175.438074,68.5,"Flag, Blue",ABC5 OKU,okupu,1819053.336,5985216.688
W,2/12/2019 1:11,-36.219298,175.473148,111,"Flag, Blue",ABC1 AWA,awana,1822301.061,5988890.987
W,2/12/2019 1:15,-36.217694,175.475311,94.8,"Flag, Blue",ABC2 AWA,awana,1822500.067,5989063.987
W,2/12/2019 1:18,-36.216167,175.477086,82.9,"Flag, Blue",ABC3 AWA,awana,1822663.978,5989229.33
W,2/12/2019 1:21,-36.215336,175.478677,71.7,"Flag, Blue",ABC4 AWA,awana,1822809.377,5989317.873
W,2/12/2019 1:24,-36.212727,175.479346,49.2,"Flag, Blue",ABC5 AWA,awana,1822876.93,5989605.803
W,2/12/2019 1:34,-36.181867,175.478553,113.2,"Flag, Blue",ABC1 HAR,haratonga,1822893.155,5993031.543
W,2/12/2019 1:37,-36.180031,175.478715,106.4,"Flag, Blue",ABC2 HAR,haratonga,1822912.932,5993234.874
W,2/12/2019 1:40,-36.178633,175.478885,89,"Flag, Blue",ABC3 HAR,haratonga,1822932.187,5993389.591
W,2/12/2019 1:43,-36.177498,175.480121,70.8,"Flag, Blue",ABC4 HAR,haratonga,1823046.584,5993512.677
W,2/12/2019 1:47,-36.176745,175.480388,56,"Flag, Blue",ABC5 HAR,haratonga,1823072.737,5993595.608
W,2/12/2019 3:27,-36.117618,175.377011,17.1,"Flag, Blue",ABC1 MOT,motairehe,1813934.518,6000388.351
W,2/12/2019 3:32,-36.117662,175.379542,22.9,"Flag, Blue",ABC2 MOT,motairehe,1814162.233,6000377.892
W,2/12/2019 3:35,-36.118477,175.381326,47.6,"Flag, Blue",ABC3 MOT,motairehe,1814320.608,6000283.536
W,2/12/2019 3:38,-36.120105,175.382496,58.4,"Flag, Blue",ABC4 MOT,motairehe,1814421.497,6000100.333
W,2/12/2019 3:40,-36.120431,175.38464,70.7,"Flag, Blue",ABC5 MOT,motairehe,1814613.601,6000059.429
W,2/12/2019 23:30,-36.244793,175.397309,26.3,"Flag, Blue",ABC1 WHA,whangaparapara,1815412.985,5986233.683
W,2/12/2019 23:35,-36.24335,175.398671,12.4,"Flag, Blue",ABC2 WHA,whangaparapara,1815539.356,5986390.752
W,2/12/2019 23:38,-36.241838,175.397509,14.2,"Flag, Blue",ABC3 WHA,whangaparapara,1815439.075,5986561.092
W,2/12/2019 23:41,-36.240647,175.398551,15.9,"Flag, Blue",ABC4 WHA,whangaparapara,1815535.998,5986690.913
W,2/12/2019 23:43,-36.238682,175.398632,14.9,"Flag, Blue",ABC5 WHA,whangaparapara,1815548.676,5986908.747
W,3/12/2019 0:20,-36.284915,175.487894,256.8,"Flag, Blue",ABC5 NED,needle_rock,1823439.723,5981576.781
W,3/12/2019 0:24,-36.284564,175.488527,230.2,"Flag, Blue",ABC4 NED,needle_rock,1823497.586,5981614.263
W,3/12/2019 0:28,-36.284384,175.489328,198.8,"Flag, Blue",ABC3 NED,needle_rock,1823570.052,5981632.383
W,3/12/2019 0:32,-36.285059,175.490559,186.7,"Flag, Blue",ABC2 NED,needle_rock,1823678.703,5981554.645
W,3/12/2019 0:36,-36.285745,175.492468,200,"Flag, Blue",ABC1 NED,needle_rock,1823848.224,5981474.117
W,3/12/2019 3:59,-36.155461,175.39422,77.2,"Flag, Blue",ABC1 OKI,okiwi,1815380.111,5996151.746
W,3/12/2019 4:03,-36.153891,175.393428,67.1,"Flag, Blue",ABC2 OKI,okiwi,1815313.147,5996327.691
W,3/12/2019 4:08,-36.152486,175.393341,58.9,"Flag, Blue",ABC3 OKI,okiwi,1815309.162,5996483.765
W,3/12/2019 4:14,-36.153497,175.394141,54.5,"Flag, Blue",ABC4 OKI,okiwi,1815378.378,5996369.822
W,3/12/2019 4:24,-36.152583,175.395342,44,"Flag, Blue",ABC5 OKI,okiwi,1815488.942,5996468.562
W,5/12/2019 18:21,-36.154269,175.388898,174.4,"Flag, Blue",SEABIRDB,Mt Young,1814904.523,5996295.794
W,5/12/2019 18:45,-36.213578,175.400332,80.7,"Flag, Blue",ABC1,Mt Young,1815770.466,5989690.211
W,5/12/2019 18:59,-36.216582,175.392028,95.2,"Flag, Blue",ABC2,Mt Young,1815015.646,5989375.38
W,5/12/2019 19:12,-36.217687,175.39059,119.4,"Flag, Blue",ABC3,Mt Young,1814883.34,5989255.972
W,5/12/2019 19:25,-36.216743,175.389593,137.2,"Flag, Blue",ABC4,Mt Young,1814796.289,5989362.918
W,5/12/2019 19:39,-36.215695,175.389148,157.3,"Flag, Blue",ABC5,Mt Young,1814759.147,5989480.177
W,7/12/2019 18:39,-36.153664,175.390482,52.9,"Flag, Blue",9WH,NA,1815048.697,5996359.408
W,7/12/2019 18:53,-36.153031,175.388388,46.4,"Flag, Blue",11FORD,NA,1814862.015,5996434.276
W,7/12/2019 19:01,-36.155065,175.387938,44,"Flag, Blue",11WH,NA,1814815.973,5996209.605
W,7/12/2019 20:51,-36.153134,175.393362,45.8,"Flag, Blue",15,NA,1815309.279,5996411.824
W,22/11/2019 2:28,-36.309915,175.494792,-0.3,"Flag, Blue",ABC1 RANG,rangitawhiri_tryphena,1823987.815,5978787.03
W,22/11/2019 2:35,-36.309557,175.496554,2.8,"Flag, Blue",ABC2 RANG,rangitawhiri_tryphena,1824147.067,5978822.667
W,22/11/2019 2:40,-36.310408,175.496,9.7,"Flag, Blue",ABC3 RANG,rangitawhiri_tryphena,1824094.88,5978729.531
W,22/11/2019 2:47,-36.311338,175.494284,-6.1,"Flag, Blue",ABC4 RANG,rangitawhiri_tryphena,1823938.124,5978630.322
W,22/11/2019 2:55,-36.313113,175.495087,-0.1,"Flag, Blue",ABC5 RANG,rangitawhiri_tryphena,1824005.15,5978431.521
W,22/11/2019 3:30,-36.260864,175.485394,8.7,"Flag, Blue",ABC1 MED,medlands,1823283.679,5984251.041
W,22/11/2019 3:34,-36.262435,175.485486,5.6,"Flag, Blue",ABC2 MED,medlands,1823287.47,5984076.525
W,22/11/2019 3:40,-36.264783,175.485647,8.1,"Flag, Blue",ABC3 MED,medlands,1823295.248,5983815.64
W,22/11/2019 3:45,-36.266013,175.487168,5,"Flag, Blue",ABC4 MED,medlands,1823428.405,5983675.66
W,22/11/2019 3:50,-36.267301,175.489096,8.4,"Flag, Blue",ABC5 MED,medlands,1823597.96,5983528.302
W,25/11/2019 3:58,-36.258125,175.471995,55.4,"Flag, Blue",ABC1 KAITOKE,kaitoke,1822087.467,5984585.76
W,25/11/2019 4:02,-36.257642,175.473967,21.7,"Flag, Blue",ABC2 KAI,kaitoke,1822266.037,5984634.824
W,25/11/2019 4:05,-36.256533,175.476156,16.8,"Flag, Blue",ABC3 KAI,kaitoke,1822465.885,5984752.84
W,25/11/2019 4:09,-36.255599,175.478219,15.7,"Flag, Blue",ABC4 KAI,kaitoke,1822653.919,5984851.725
W,25/11/2019 4:13,-36.255514,175.480348,14.8,"Flag, Blue",ABC5 KAI,kaitoke,1822845.475,5984856.257
W,5/12/2019 18:10,-36.162388,175.378127,339.1,Waypoint,ABC 1,coopers_castle,1813913.324,5995418.814
W,5/12/2019 18:16,-36.163597,175.379794,338.1,Waypoint,ABC 2,coopers_castle,1814060.008,5995281.003
W,5/12/2019 18:30,-36.165107,175.381073,369.4,Waypoint,ABC 3,coopers_castle,1814170.963,5995110.65
W,5/12/2019 18:46,-36.165341,175.38377,384.7,Waypoint,ABC 4,coopers_castle,1814412.956,5995078.732
W,5/12/2019 19:01,-36.166228,175.385672,394.1,Waypoint,ABC 5,coopers_castle,1814581.646,5994976.117
W,5/12/2019 19:54,-36.121308,175.500208,104.9,Waypoint,ABC5,rakitu,1825014.007,5999700.563
W,NA,-36.1242087,175.4951931,0,Waypoint,ABC2,rakitu,1824554.32,5999390.34
W,NA,-36.1232765,175.4970154,0,Waypoint,ABC3,rakitu,1824721.008,5999489.552
W,NA,-36.1221342,175.4940399,0,Waypoint,ABC1,rakitu,1824456.428,5999623.171
W,NA,-36.122082,175.4988293,0,Waypoint,ABC4,rakitu,1824887.693,5999617.882
W,5/12/2019 19:46,-36.113153,175.397085,54.5,Waypoint,ABC1,te_paparahi,1815753.754,6000839.328
W,5/12/2019 20:15,-36.111333,175.397848,31.1,Waypoint,ABC2,te_paparahi,1815827.425,6001039.556
W,5/12/2019 20:49,-36.109559,175.398744,55.7,Waypoint,ABC3,te_paparahi,1815912.946,6001234.384
W,5/12/2019 21:14,-36.107657,175.399252,39.1,Waypoint,ABC4,te_paparahi,1815963.89,6001444.275
W,5/12/2019 21:40,-36.106204,175.400953,48.3,Waypoint,ABC5,te_paparahi,1816121.013,6001601.698
NA,NA,-36.0934921,175.4057166,NA,NA,ABC1,wreck_bay,1816584.794,6003001.434
NA,NA,-36.0940884,175.4072089,NA,NA,ABC2,wreck_bay,1816717.531,6002931.95
NA,NA,-36.0944725,175.4076255,NA,NA,ABC3,wreck_bay,1816753.988,6002888.406
NA,NA,-36.0949317,175.4081195,NA,NA,ABC4,wreck_bay,1816797.208,6002836.358
NA,NA,-36.0953717,175.4086167,NA,NA,ABC5,wreck_bay,1816840.768,6002786.432
NA,NA,-36.30106593,175.5209235,NA,NA,ABC1,windy_hill,1826360.004,5979708
NA,NA,-36.30102843,175.5231269,NA,NA,ABC2,windy_hill,1826558,5979707
NA,NA,-36.30005679,175.5251777,NA,NA,ABC3,windy_hill,1826744.997,5979810
NA,NA,-36.29826812,175.5257992,NA,NA,ABC4,windy_hill,1826805.997,5980007
NA,NA,-36.29900482,175.5233512,NA,NA,ABC5,windy_hill,1826584.002,5979931
NA,NA,-36.16133314,175.3536328,NA,NA,ABC1,glenfern,1811712.519,5995589.57
NA,NA,-36.15888958,175.35203,NA,NA,ABC2,glenfern,1811574.89,5995864.169
NA,NA,-36.15608755,175.3551441,NA,NA,ABC5,glenfern,1811862.608,5996168.25
NA,NA,-36.15790191,175.3579292,NA,NA,ABC6,glenfern,1812108.302,5995960.869
NA,NA,-36.16123516,175.3597894,NA,NA,ABC10,glenfern,1812266.674,5995586.99
NA,NA,-36.188146,175.329995,NA,NA,ABC1,moto_kaikoura,1809514.464,5992666.107
NA,NA,-36.186753,175.328378,NA,NA,ABC2,moto_kaikoura,1809372.748,5992824.148
NA,NA,-36.186821,175.325246,NA,NA,ABC3,moto_kaikoura,1809090.883,5992823.361
NA,NA,-36.183907,175.32469,NA,NA,ABC4,moto_kaikoura,1809048.627,5993147.856
